Tiempo (s),Posición Y (px),Posición X (px),Posición Y (m),Posición X (m),Velocidad Y (m/s),Velocidad X (m/s),Aceleración Y (m/s^2),Aceleración X (m/s^2)
0.7625,40.0,-10.0,0.36188,-0.09047,0.0,0.0,-10.42214400000005,-10.422144000000017
0.7666666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000027,0.2171279999999996,2.7977620220553894e-14,-4.3964831775156123e-14
0.7708333333333334,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000023,-10.42214399999999
0.775,40.0,-11.0,0.36188,-0.099517,0.0,-0.2171279999999996,0.0,-10.422143999999962
0.7791666666666667,40.0,-11.0,0.36188,-0.099517,0.0,-0.21712800000000018,-10.422144000000023,-20.84428799999998
0.7833333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.0,-10.422144000000023,0.0
0.7875,39.0,-10.0,0.35283299999999995,-0.09047,0.0,-0.21712800000000052,10.42214400000005,-20.844288000000077
0.7916666666666666,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,0.0,-10.422144000000046
0.7958333333333333,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.0,10.422144000000078,10.422144000000017
0.8,40.0,-10.0,0.36188,-0.09047,0.0,0.0,0.0,10.42214399999999
0.8041666666666667,40.0,-11.0,0.36188,-0.099517,0.0,-0.2171279999999996,10.422144000000023,-10.422143999999962
0.8083333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,10.422144000000007
0.8125,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,10.42214399999999
0.8166666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.21712800000000018,-20.844288000000045,10.42214399999999
0.8208333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.21712800000000018,-10.422144000000078,10.422144000000046
0.825,40.0,-10.0,0.36188,-0.09047,0.21712800000000085,0.0,10.422144000000078,10.422144000000017
0.8291666666666667,40.0,-10.0,0.36188,-0.09047,0.21712800000000027,0.0,10.422143999999994,0.0
0.8333333333333334,40.0,-10.0,0.36188,-0.09047,0.21712800000000027,0.2171279999999996,10.422143999999994,10.422143999999962
0.8375,39.0,-11.0,0.35283299999999995,-0.099517,-0.21712800000000027,-0.2171279999999996,2.7977620220553894e-14,-20.844287999999953
0.8416666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.0,0.0,-10.42214399999999
0.8458333333333333,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.21712800000000018,-20.844288000000045,10.42214399999999
0.85,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.42214400000005,0.0
0.8541666666666666,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,-10.42214400000005,-10.422144000000017
0.8583333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.42214400000005,10.422144000000017
0.8625,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000023,0.0
0.8666666666666667,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000027,0.0,2.7977620220553894e-14,-10.42214399999999
0.8708333333333333,39.0,-11.0,0.35283299999999995,-0.099517,-0.21712800000000085,-0.21712800000000018,-10.422144000000023,-10.42214399999999
0.875,39.0,-10.0,0.35283299999999995,-0.09047,-0.21712800000000085,0.0,-10.422144000000023,0.0
0.8791666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.21712800000000018,0.0,10.42214399999999
0.8833333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.8875,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.42214400000005,0.0
0.8916666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000023,10.42214399999999
0.8958333333333334,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,10.422144000000023,0.0
0.9,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,-10.42214399999999
0.9041666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9083333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9125,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.21712800000000018,0.0,10.422144000000046
0.9166666666666666,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9208333333333333,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,0.0,-10.422144000000046
0.925,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9291666666666667,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9333333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,-10.42214399999999
0.9375,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.9416666666666667,39.0,-11.0,0.35283299999999995,-0.099517,0.0,-0.21712800000000018,0.0,0.0
0.9458333333333333,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
0.95,39.0,-10.0,0.35283299999999995,-0.09047,0.0,0.0,0.0,0.0
